TEAM,PTS-ALLOWED
Houston Cougars,55
Tennessee Volunteers,55
North Texas Mean Green,56.1
Liberty Flames,58.5
Mississippi State Bulldogs,58.5
Saint Mary's Gaels,58.5
Rutgers Scarlet Knights,58.7
Sam Houston Bearkats,59.3
UCLA Bruins,59.7
Virginia Cavaliers,60.4
Yale Bulldogs,61
Southern Illinois Salukis,61.1
Dayton Flyers,61.2
Boise State Broncos,61.2
Charlotte 49ers,61.3
Purdue Boilermakers,61.6
Iowa State Cyclones,61.7
Utah Utes,61.8
Hawai'i Rainbow Warriors,62
Drexel Dragons,62.1
Northwestern Wildcats,62.1
Merrimack Warriors,62.4
Bradley Braves,62.5
Maryland Terrapins,62.5
UC Santa Barbara Gauchos,62.8
Gardner-Webb Runnin' Bulldogs,62.8
UNC Greensboro Spartans,62.8
Wagner Seahawks,63.1
Jacksonville Dolphins,63.2
Wisconsin Badgers,63.2
VCU Rams,63.2
Missouri State Bears,63.4
Appalachian State Mountaineers,63.5
UNC Wilmington Seahawks,63.5
Oklahoma State Cowboys,63.7
Radford Highlanders,63.8
Cal State Bakersfield Roadrunners,64
Grambling Tigers,64
Southern Miss Golden Eagles,64
Illinois Fighting Illini,64.1
Duke Blue Devils,64.1
Kent State Golden Flashes,64.2
Northern Kentucky Norse,64.2
Lafayette Leopards,64.4
Fairfield Stags,64.5
Saint Peter's Peacocks,64.5
Seton Hall Pirates,64.5
Auburn Tigers,64.6
Akron Zips,64.6
Florida Atlantic Owls,64.7
American University Eagles,64.8
Niagara Purple Eagles,64.8
Cal State Fullerton Titans,65
UConn Huskies,65
UMass Lowell River Hawks,65.2
Drake Bulldogs,65.2
Longwood Lancers,65.3
California Baptist Lancers,65.4
Fresno State Bulldogs,65.4
Cal Poly Mustangs,65.4
Troy Trojans,65.5
San Diego State Aztecs,65.5
Arkansas Razorbacks,65.5
Bellarmine Knights,65.6
Michigan State Spartans,65.6
Towson Tigers,65.6
Colorado Buffaloes,65.6
Grand Canyon Lopes,65.7
Texas State Bobcats,65.7
Harvard Crimson,65.7
Washington State Cougars,65.8
Maryland-Eastern Shore Hawks,65.9
Siena Saints,65.9
Rider Broncs,66
Mount St. Mary's Mountaineers,66
Old Dominion Monarchs,66
New Hampshire Wildcats,66
Florida Gators,66.2
San José State Spartans,66.3
Marist Red Foxes,66.3
UCF Knights,66.3
UT Arlington Mavericks,66.4
Stanford Cardinal,66.4
Iona Gaels,66.4
Georgia State Panthers,66.4
Air Force Falcons,66.5
Nevada Wolf Pack,66.5
Montana State Bobcats,66.5
St. Bonaventure Bonnies,66.5
Oregon State Beavers,66.6
UTEP Miners,66.6
UC Irvine Anteaters,66.6
TCU Horned Frogs,66.6
Wichita State Shockers,66.7
Texas A&M Aggies,66.7
St. Francis Brooklyn Terriers,66.7
Georgia Southern Eagles,66.7
James Madison Dukes,66.8
Oregon Ducks,66.9
Arizona State Sun Devils,66.9
South Alabama Jaguars,66.9
Navy Midshipmen,66.9
Oklahoma Sooners,67
Robert Morris Colonials,67
Creighton Bluejays,67
Clemson Tigers,67.1
Cleveland State Vikings,67.2
North Carolina Central Eagles,67.2
Quinnipiac Bobcats,67.2
USC Trojans,67.2
Kansas City Roos,67.2
Fordham Rams,67.3
Arkansas State Red Wolves,67.3
Indiana Hoosiers,67.3
Brown Bears,67.3
Vermont Catamounts,67.3
Princeton Tigers,67.5
Pittsburgh Panthers,67.5
Utah Valley Wolverines,67.6
Morehead State Eagles,67.6
Montana Grizzlies,67.6
Tarleton Texans,67.7
Butler Bulldogs,67.7
Kentucky Wildcats,67.7
Boston University Terriers,67.7
Middle Tennessee Blue Raiders,67.7
Cal State Northridge Matadors,67.8
Weber State Wildcats,67.8
Mercer Bears,67.8
Stephen F. Austin Lumberjacks,67.9
Hofstra Pride,67.9
Penn State Nittany Lions,67.9
Ohio State Buckeyes,68
Kansas State Wildcats,68
Richmond Spiders,68.1
Virginia Tech Hokies,68.1
Campbell Fighting Camels,68.1
Sacramento State Hornets,68.2
Ole Miss Rebels,68.3
Northern Iowa Panthers,68.3
George Mason Patriots,68.3
Villanova Wildcats,68.4
UC Riverside Highlanders,68.4
Louisiana Tech Bulldogs,68.5
Kansas Jayhawks,68.5
UNLV Rebels,68.5
Texas Longhorns,68.5
Stony Brook Seawolves,68.5
Bucknell Bison,68.5
Texas Tech Red Raiders,68.5
Seattle U Redhawks,68.5
UL Monroe Warhawks,68.5
Charleston Cougars,68.5
Prairie View A&M Panthers,68.5
Kennesaw State Owls,68.6
Providence Friars,68.6
Lipscomb Bisons,68.7
California Golden Bears,68.7
Cincinnati Bearcats,68.7
Alabama Crimson Tide,68.7
SIU Edwardsville Cougars,68.7
Purdue Fort Wayne Mastodons,68.7
East Tennessee State Buccaneers,68.7
LSU Tigers,68.8
Temple Owls,68.8
Presbyterian Blue Hose,68.8
Colgate Raiders,69
Ball State Cardinals,69
Indiana State Sycamores,69
BYU Cougars,69.1
Georgia Bulldogs,69.1
Davidson Wildcats,69.1
Norfolk State Spartans,69.1
Arkansas-Pine Bluff Golden Lions,69.1
West Virginia Mountaineers,69.2
Baylor Bears,69.2
Minnesota Golden Gophers,69.3
NC State Wolfpack,69.3
Jacksonville State Gamecocks,69.3
Nebraska Cornhuskers,69.3
Maine Black Bears,69.3
Abilene Christian Wildcats,69.3
Central Connecticut Blue Devils,69.3
Florida Gulf Coast Eagles,69.3
Lehigh Mountain Hawks,69.4
Loyola Maryland Greyhounds,69.5
Illinois State Redbirds,69.5
Duquesne Dukes,69.6
Michigan Wolverines,69.6
South Carolina Upstate Spartans,69.7
Boston College Eagles,69.7
UNC Asheville Bulldogs,69.8
Miami Hurricanes,69.8
Army Black Knights,69.9
Marshall Thundering Herd,69.9
Rhode Island Rams,70
East Carolina Pirates,70.1
UC Davis Aggies,70.1
UIC Flames,70.2
Dartmouth Big Green,70.2
Delaware Blue Hens,70.3
Stonehill Skyhawks,70.3
South Dakota State Jackrabbits,70.3
Syracuse Orange,70.3
Arizona Wildcats,70.4
Florida A&M Rattlers,70.4
Marquette Golden Eagles,70.5
Western Kentucky Hilltoppers,70.6
Western Carolina Catamounts,70.6
Northeastern Huskies,70.7
Oral Roberts Golden Eagles,70.7
Belmont Bruins,70.7
Samford Bulldogs,70.8
Saint Louis Billikens,70.8
Hartford Hawks,70.9
Washington Huskies,70.9
Louisiana Ragin' Cajuns,70.9
Eastern Washington Eagles,70.9
Utah State Aggies,71
Georgia Tech Yellow Jackets,71
Binghamton Bearcats,71
St. Thomas - Minnesota Tommies,71.1
Idaho State Bengals,71.1
Manhattan Jaspers,71.1
Holy Cross Crusaders,71.2
Chattanooga Mocs,71.2
Furman Paladins,71.2
UAB Blazers,71.2
William & Mary Tribe,71.2
Morgan State Bears,71.3
Texas A&M-Commerce Lions,71.4
Lindenwood Lions,71.5
Loyola Marymount Lions,71.5
Eastern Illinois Panthers,71.5
Wofford Terriers,71.5
Milwaukee Panthers,71.6
Vanderbilt Commodores,71.7
Sacred Heart Pioneers,71.7
New Mexico State Aggies,71.7
Stetson Hatters,71.7
Saint Joseph's Hawks,71.7
Pennsylvania Quakers,71.8
Colorado State Rams,71.8
San Francisco Dons,71.8
Alcorn State Braves,71.8
Notre Dame Fighting Irish,71.9
Elon Phoenix,71.9
UC San Diego Tritons,71.9
Austin Peay Governors,71.9
Wyoming Cowboys,71.9
Central Michigan Chippewas,71.9
South Florida Bulls,71.9
Western Illinois Leathernecks,72
UMass Minutemen,72
Chicago State Cougars,72.2
NJIT Highlanders,72.2
Murray State Racers,72.2
La Salle Explorers,72.2
North Carolina Tar Heels,72.2
Nicholls Colonels,72.3
New Mexico Lobos,72.4
Northwestern State Demons,72.5
Eastern Kentucky Colonels,72.5
Loyola Chicago Ramblers,72.6
Tennessee Tech Golden Eagles,72.7
Youngstown State Penguins,72.7
Incarnate Word Cardinals,72.7
UMBC Retrievers,72.7
Santa Clara Broncos,72.7
Coastal Carolina Chanticleers,72.7
Idaho Vandals,72.7
Howard Bison,72.8
Bryant Bulldogs,73
Southern Jaguars,73
Southern Utah Thunderbirds,73
North Dakota Fighting Hawks,73.1
North Carolina A&T Aggies,73.1
Florida International Panthers,73.1
Alabama A&M Bulldogs,73.1
South Carolina Gamecocks,73.2
Wake Forest Demon Deacons,73.2
Memphis Tigers,73.3
Utah Tech Trailblazers,73.3
Texas A&M-Corpus Christi Islanders,73.3
Wright State Raiders,73.3
Texas Southern Tigers,73.4
Valparaiso Beacons,73.4
Winthrop Eagles,73.4
Southern Indiana Screaming Eagles,73.4
North Dakota State Bison,73.6
North Alabama Lions,73.7
Gonzaga Bulldogs,73.7
South Dakota Coyotes,73.8
Long Beach State Beach,73.8
Northern Arizona Lumberjacks,73.9
Ohio Bobcats,73.9
Western Michigan Broncos,74
Tennessee State Tigers,74
Rice Owls,74
Lamar Cardinals,74
SMU Mustangs,74.1
Iowa Hawkeyes,74.1
Delaware State Hornets,74.1
Columbia Lions,74.1
St. John's Red Storm,74.3
Alabama State Hornets,74.4
St. Francis (PA) Red Flash,74.4
Canisius Golden Griffins,74.4
Charleston Southern Buccaneers,74.5
UT Martin Skyhawks,74.6
Portland State Vikings,74.7
Queens University Royals,74.7
Monmouth Hawks,74.8
UTSA Roadrunners,74.8
McNeese Cowboys,74.8
Missouri Tigers,74.8
The Citadel Bulldogs,74.8
Evansville Purple Aces,74.8
VMI Keydets,74.9
Bethune-Cookman Wildcats,75.1
Denver Pioneers,75.3
Albany Great Danes,75.3
Oakland Golden Grizzlies,75.3
Florida State Seminoles,75.3
Louisville Cardinals,75.4
Northern Illinois Huskies,75.5
Miami (OH) Redhawks,75.5
Cornell Big Red,75.6
Tulane Green Wave,75.7
Mississippi Valley State Delta Devils,75.7
Xavier Musketeers,75.7
IUPUI Jaguars,75.7
Green Bay Phoenix,75.9
DePaul Blue Demons,76.1
SE Louisiana Lions,76.2
George Washington Colonials,76.3
Detroit Mercy Titans,76.3
Fairleigh Dickinson Knights,76.3
Southeast Missouri State Redhawks,76.5
Pacific Tigers,76.7
Jackson State Tigers,76.9
Omaha Mavericks,77
Tulsa Golden Hurricane,77
Portland Pilots,77.1
Georgetown Hoyas,77.1
Hampton Pirates,77.2
Northern Colorado Bears,77.3
North Florida Ospreys,77.3
UT Rio Grande Valley Vaqueros,77.4
Toledo Rockets,77.4
Bowling Green Falcons,77.5
Buffalo Bulls,77.6
High Point Panthers,78.7
Little Rock Trojans,78.7
San Diego Toreros,79.4
Long Island University Sharks,80.1
Pepperdine Waves,80.2
New Orleans Privateers,80.5
Eastern Michigan Eagles,82.3
Central Arkansas Bears,82.4
Houston Christian Huskies,83.9
Coppin State Eagles,85.5
South Carolina State Bulldogs,85.8